編號,義項,語句編號,語句,語句TL,語句POJ,音檔,語句翻譯,語句翻譯POJ
1,1,1,一蕊花,tsi̍t luí hue,chi̍t lúi hoe,1-1-1.mp3,一朵花,
1,2,1,紅嬰仔哭甲一身軀汗。,Âng-enn-á khàu kah tsi̍t sin-khu kuānn.,Âng-eⁿ-á khàu kah chi̍t sin-khu kōaⁿ.,1-2-1.mp3,小嬰兒哭得滿身大汗。,
1,3,1,一睏仔,tsi̍t-khùn-á,chi̍t-khùn-á,1-3-1.mp3,一下子,
1,3,2,一絲仔,tsi̍t-si-á,chi̍t-si-á,1-3-2.mp3,一點點,
2,5,1,一流,it-liû,it-liû,2-2-1.mp3,一流,
2,6,1,𪜶兩个生做一模一樣。,In nn̄g ê senn-tsò it-bôo-it-iūnn.,In nn̄g ê seⁿ-chò it-bô͘-it-iūⁿ.,2-3-1.mp3,他們兩個長得一模一樣。,
2,7,1,一生,it-sing,it-seng,2-4-1.mp3,一生,
2,7,2,一向,it-hiòng,it-hiòng,2-4-2.mp3,一向,
3,8,1,𪜶兩兄弟仔為著拚生理，就按呢一刀兩斷無來去。,"In nn̄g hiann-tī-á uī-tio̍h piànn-sing-lí, tō án-ne it-to-lióng-tuān bô lâi-khì.","In nn̄g hiaⁿ-tī-á ūi-tio̍h piàⁿ-seng-lí, tō án-ne it-to-lióng-toān bô lâi-khì.",3-1-1.mp3,他們兄弟倆為了拚生意，就這樣斷絕關係，不相往來。,
4,9,1,小等一下。,Sió-tán--tsi̍t-ē.,Sió-tán--chi̍t-ē.,4-1-1.mp3,稍等一會兒。,
4,10,1,老母一下死，囡仔就大聲吼。,"Lāu-bú tsi̍t-ē sí, gín-á tō tuā-siann háu.","Lāu-bú chi̍t-ē sí, gín-á tō tōa-siaⁿ háu.",4-2-1.mp3,媽媽一死，小孩子就大聲的哭。,
4,11,1,氣一下袂講話。,Khì tsi̍t-ē bē kóng-uē.,Khì chi̍t-ē bē kóng-ōe.,4-3-1.mp3,氣得說不出話來。,
5,12,1,你一月日趁偌濟錢？,Lí tsi̍t gue̍h-ji̍t thàn guā-tsē tsînn?,Lí chi̍t goe̍h-ji̍t thàn gōa-chē chîⁿ?,5-1-1.mp3,你一個月賺多少錢？,
6,13,1,你毋好一日到暗拋拋走。,Lí m̄-hó tsi̍t-ji̍t-kàu-àm pha-pha-tsáu.,Lí m̄-hó chi̍t-ji̍t-kàu-àm pha-pha-cháu.,6-1-1.mp3,你不要一天到晚四處亂跑。,
7,14,1,我一世人毋捌做過對不起別人的代誌。,Guá tsi̍t-sì-lâng m̄ bat tsò-kuè tuì-put-khí pa̍t-lâng ê tāi-tsì.,Góa chi̍t-sì-lâng m̄ bat chò-kòe tùi-put-khí pa̍t-lâng ê tāi-chì.,7-1-1.mp3,我一輩子不曾做過對不起他人的事。,
